Number,Name,Description,Price,Image Url
1,Toyota Sienna,"2017 г., 3.5 л., автомат минивэн, бензин руль слева, 143 000 км","$ 32 500
                                                                                                                                         
                                                                                                                                                                                         2 856 100 сом",https://im.mashina.kg/tachka/images//2/d/4/2d443b547d98898d4039601e92ce5d26_240x180.jpg
1,Toyota Fortuner,"2017 г., 2.7 л., автомат внедорожник 5 дв., бензин руль слева, 70 000 км","$ 40 500
                                                                                                                                         
                                                                                                                                                                                         3 559 140 сом",https://im.mashina.kg/tachka/images//4/2/7/4275c2ac1a6e03196d435be50a629946_240x180.jpg
1,Lexus RX,"2017 г., 3.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 110 000 км","$ 53 000
                                                                                                                                         
                                                                                                                                                                                         4 657 640 сом",https://im.mashina.kg/tachka/images//c/3/b/c3b97d5b92ab907e27615efec4762660_240x180.jpg
1,Lexus LX,"2015 г., 4.5 л., автомат внедорожник 5 дв., дизель руль слева, 125 000 км","$ 88 000
                                                                                                                                         
                                                                                                                                                                                         7 733 440 сом",https://im.mashina.kg/tachka/images//9/1/a/91a23ea4736b9bfc914e94d13a580baa_240x180.jpg
1,Lexus GX,"2007 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 175 000 км","$ 26 500
                                                                                                                                         
                                                                                                                                                                                         2 328 820 сом",https://im.mashina.kg/tachka/images//f/6/a/f6a2c3b63c6de37200c1ba4bd0fc349d_240x180.jpg
1,Toyota Highlander,"2017 г., 3.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 62 000 км","$ 41 100
                                                                                                                                         
                                                                                                                                                                                         3 611 868 сом",https://im.mashina.kg/tachka/images//3/9/7/397cc0411b734d0fa2f8e1064b899e04_240x180.jpg
1,Lexus LX,"2014 г., 5.7 л., автомат внедорожник 5 дв., бензин руль слева, 40 500 км","$ 65 000
                                                                                                                                         
                                                                                                                                                                                         5 712 200 сом",https://im.mashina.kg/tachka/images//a/b/3/ab3f7cb46db72bc50b5b090e64330543_240x180.jpg
1,Land Rover Range Rover,"2018 г., 4.4 л., автомат внедорожник 5 дв., дизель руль слева, 41 000 км","$ 115 000
                                                                                                                                         
                                                                                                                                                                                         10 106 200 сом",https://im.mashina.kg/tachka/images//2/c/2/2c285222aec4a03816e29fb21f94e550_240x180.jpg
1,Genesis GV80,"2020 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 38 000 км","$ 69 000
                                                                                                                                         
                                                                                                                                                                                         6 063 720 сом",https://im.mashina.kg/tachka/images//8/d/5/8d5a34db3191fc6569ee5cbdfb95da76_240x180.jpg
1,Toyota Camry,"2021 г., 2.5 л., автомат седан, бензин руль слева, 27 000 км","$ 26 300
                                                                                                                                         
                                                                                                                                                                                         2 311 244 сом",https://im.mashina.kg/tachka/images//6/3/1/631e683d113e3c0efaaff086d9db2891_240x180.jpg
1,Toyota RAV4,"2016 г., 2.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 160 000 км","$ 27 500
                                                                                                                                         
                                                                                                                                                                                         2 416 700 сом",https://im.mashina.kg/tachka/images//a/2/9/a29a699a99b6af022789ca0c684c743b_240x180.jpg
1,BMW X5,"2017 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 150 000 км","$ 49 500
                                                                                                                                         
                                                                                                                                                                                         4 350 060 сом",https://im.mashina.kg/tachka/images//a/3/6/a36fb2df832fc46d06c6913b3f27e1a5_240x180.jpg
1,Toyota 4Runner,"2017 г., 4 л., автомат внедорожник 5 дв., бензин руль слева, 120 000 км","$ 37 500
                                                                                                                                         
                                                                                                                                                                                         3 295 500 сом",https://im.mashina.kg/tachka/images//6/f/3/6f3d18909acce96e97b39456bd181437_240x180.jpg
1,Ravon R4,"2017 г., 1.5 л., автомат седан, бензин руль слева, 40 000 км","$ 10 800
                                                                                                                                         
                                                                                                                                                                                         949 104 сом",https://im.mashina.kg/tachka/images//5/b/5/5b577b1566c9fa587874c90f6b87a37c_240x180.jpg
1,Lexus LX,"2012 г., 5.7 л., автомат внедорожник 5 дв., бензин руль слева, 200 000 км","$ 46 000
                                                                                                                                         
                                                                                                                                                                                         4 042 480 сом",https://im.mashina.kg/tachka/images//b/d/c/bdc05b775f6d6a384e8e637e655a73f7_240x180.jpg
1,Toyota Land Cruiser,"2012 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 139 000 км","$ 49 000
                                                                                                                                         
                                                                                                                                                                                         4 306 120 сом",https://im.mashina.kg/tachka/images//6/b/6/6b6b415223149c7ceff9be1187a71575_240x180.jpg
1,ВАЗ (Lada) 2107,"2008 г., 1.6 л., механика седан, бензин руль слева, 99 000 км","$ 2 959
                                                                                                                                         
                                                                                                                                                                                         260 000 сом",https://im.mashina.kg/tachka/images//2/c/e/2ce02d35191f2e98ce16086adc7861d8_240x180.jpg
1,Genesis G70,"2018 г., 2 л., автомат седан, бензин руль слева, 79 000 км","$ 25 000
                                                                                                                                         
                                                                                                                                                                                         2 197 000 сом",https://im.mashina.kg/tachka/images//4/b/2/4b2ce3710e4693a19af0fc0a48e8d244_240x180.jpg
1,Hyundai Santa Fe,"2018 г., 2.2 л., автомат внедорожник 5 дв., дизель руль слева, 140 000 км","$ 33 800
                                                                                                                                         
                                                                                                                                                                                         2 970 344 сом",https://im.mashina.kg/tachka/images//a/d/c/adcfd4bbd26e3a30ae702780dbde8726_240x180.jpg
